City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Half Moon Bay,US,37.4636,-122.4286,57.9,87,90,13.8,overcast clouds
80,Quimper,FR,48.0,-4.1,68.83,82,75,2.3,broken clouds
81,Muros,ES,42.7762,-9.0603,79.68,60,22,16.82,few clouds
82,Porto Novo,BJ,6.4965,2.6036,87.62,63,100,8.63,overcast clouds
83,Atar,MR,20.5169,-13.0499,108.99,9,100,15.43,overcast clouds
84,Koygorodok,RU,60.445,50.9968,59.25,58,100,5.73,overcast clouds
85,Sibolga,ID,1.7427,98.7792,77.81,90,34,3.04,scattered clouds
86,Kuah,MY,6.3265,99.8432,84.2,84,20,2.51,few clouds
87,Mar Del Plata,AR,-38.0023,-57.5575,48.09,52,40,11.01,moderate rain
88,Nikolskoye,RU,59.7035,30.7861,55.29,37,1,9.91,clear sky
89,San Vicente,AR,-26.6167,-54.1333,71.76,72,90,3.56,overcast clouds
90,Visby,SE,57.6409,18.296,58.05,47,1,13.8,clear sky
91,Stornoway,GB,58.2093,-6.3865,62.56,67,100,11.5,overcast clouds
92,Abnub,EG,27.2696,31.1511,97.03,16,0,16.96,clear sky
93,Bethel,US,41.3712,-73.414,47.01,91,100,3.0,moderate rain
94,Srednekolymsk,RU,67.45,153.6833,47.95,47,74,9.57,broken clouds
95,Longyearbyen,SJ,78.2186,15.6401,35.44,69,75,9.22,broken clouds
96,Baghdad,IQ,33.3406,44.4009,105.71,12,0,13.22,clear sky
97,Narsaq,GL,60.9167,-46.05,44.82,81,100,2.01,overcast clouds
98,Norman Wells,CA,65.282,-126.8329,32.04,100,90,4.61,overcast clouds
99,Barrow,US,71.2906,-156.7887,30.22,80,90,9.22,overcast clouds
100,Tuktoyaktuk,CA,69.4541,-133.0374,31.35,77,100,6.46,overcast clouds
101,Warin Chamrap,TH,15.1932,104.8628,83.03,89,0,3.44,clear sky
102,Katsuura,JP,35.1333,140.3,71.71,79,51,18.84,broken clouds
103,Vardo,NO,70.3705,31.1107,39.43,71,85,18.54,overcast clouds
104,Lyaskelya,RU,61.7667,31.0167,53.74,35,100,7.78,overcast clouds
105,Nanortalik,GL,60.1432,-45.2371,37.94,82,82,5.77,broken clouds
106,Nisia Floresta,BR,-6.0911,-35.2086,86.81,56,61,16.17,broken clouds
107,Sangar,RU,63.9242,127.4739,53.46,63,91,8.46,overcast clouds
108,Thiruvananthapuram,IN,8.4833,76.9167,78.78,94,75,5.75,broken clouds
109,San Andres,CO,12.5847,-81.7006,86.02,70,40,12.66,scattered clouds
110,Imbituba,BR,-28.24,-48.6703,73.29,78,79,9.31,broken clouds
111,Piopio,NZ,-38.4667,175.0167,48.96,99,100,3.04,overcast clouds
112,Batagay,RU,67.6333,134.6333,49.42,39,100,12.06,overcast clouds
113,Port Augusta,AU,-32.5,137.7667,43.7,54,0,5.97,clear sky
114,Saldanha,ZA,-33.0117,17.9442,61.2,77,99,10.83,overcast clouds
115,Ferkessedougou,CI,9.6,-5.2,95.83,34,98,7.45,overcast clouds
116,Leningradskiy,RU,69.3833,178.4167,26.83,84,79,8.03,broken clouds
117,Aransas Pass,US,27.9095,-97.15,73.44,88,40,11.5,scattered clouds
118,Ngerengere,TZ,-6.75,38.1167,75.79,67,100,1.34,overcast clouds
119,Torbay,CA,47.6666,-52.7314,55.27,58,40,23.02,scattered clouds
120,Port Elizabeth,ZA,-33.918,25.5701,65.1,65,36,28.61,scattered clouds
121,Luderitz,NA,-26.6481,15.1594,71.08,51,34,22.75,scattered clouds
122,Port Hardy,CA,50.6996,-127.4199,48.38,81,40,5.75,scattered clouds
123,Saint-Philippe,RE,-21.3585,55.7679,73.22,77,38,4.81,scattered clouds
124,Clyde River,CA,70.4692,-68.5914,32.23,74,20,8.05,few clouds
125,Seddon,AU,-37.8068,144.8916,48.34,83,75,0.0,broken clouds
126,Oranjemund,NA,-28.55,16.4333,61.12,77,80,20.38,broken clouds
127,Ulaangom,MN,49.9811,92.0667,53.38,37,97,19.82,overcast clouds
128,Yellowknife,CA,62.456,-114.3525,46.29,60,57,5.99,broken clouds
129,San Cristobal,VE,7.7669,-72.225,69.98,69,54,4.34,broken clouds
