City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
98,Norman Wells,CA,32.04,overcast clouds,65.282,-126.8329,Heritage Hotel
99,Barrow,US,30.22,overcast clouds,71.2906,-156.7887,King Eider Inn
100,Tuktoyaktuk,CA,31.35,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
102,Katsuura,JP,71.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
103,Vardo,NO,39.43,overcast clouds,70.3705,31.1107,Vardø Hotel AS
104,Lyaskelya,RU,53.74,overcast clouds,61.7667,31.0167,Manor Cafe
105,Nanortalik,GL,37.94,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
108,Thiruvananthapuram,IN,78.78,broken clouds,8.4833,76.9167,Hotel Residency Tower
110,Imbituba,BR,73.29,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
111,Piopio,NZ,48.96,overcast clouds,-38.4667,175.0167,Owls Nest Motel
112,Batagay,RU,49.42,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
113,Port Augusta,AU,43.7,clear sky,-32.5,137.7667,Majestic Oasis Apartments
114,Saldanha,ZA,61.2,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
117,Aransas Pass,US,73.44,scattered clouds,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
119,Torbay,CA,55.27,scattered clouds,47.6666,-52.7314,Gallows Cove
120,Port Elizabeth,ZA,65.1,scattered clouds,-33.918,25.5701,39 On Nile Guest House
121,Luderitz,,71.08,scattered clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
122,Port Hardy,CA,48.38,scattered clouds,50.6996,-127.4199,Airport Inn
123,Saint-Philippe,RE,73.22,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
124,Clyde River,CA,32.23,few clouds,70.4692,-68.5914,Qamaq Hotel
125,Seddon,AU,48.34,broken clouds,-37.8068,144.8916,Footscray Motor Inn
126,Oranjemund,,61.12,broken clouds,-28.55,16.4333,The Fisherman's Cove
127,Ulaangom,MN,53.38,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
128,Yellowknife,CA,46.29,broken clouds,62.456,-114.3525,The Explorer Hotel
129,San Cristobal,VE,69.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
131,Turukhansk,RU,34.68,broken clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
132,Matara,LK,79.03,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
135,Crotone,IT,73.35,clear sky,39.0851,17.1178,Helios Hotel
136,Kodiak,US,45.91,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
137,Danesti,RO,58.5,overcast clouds,46.5167,25.75,Boti
138,Mount Isa,AU,60.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
139,Vikulovo,RU,67.66,few clouds,56.8167,70.6107,"Ooo ""Sistema Stroy"""
140,Morro Bay,US,54.48,overcast clouds,35.3658,-120.8499,Inn at Morro Bay
145,Huanren,CN,48.29,clear sky,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
146,East London,ZA,65.34,clear sky,-33.0153,27.9116,Tu Casa
150,Coquimbo,CL,56.93,clear sky,-29.9533,-71.3436,Punto de encuentro
151,Ojiya,JP,61.14,overcast clouds,37.3,138.8,ビジネスホテル ニュープラザ
152,Carnarvon,AU,68.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
154,Xinxiang,CN,76.87,light rain,35.3089,113.8672,Guoyu Holiday Inn
155,Lompoc,US,61.57,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
157,Souillac,MU,76.35,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
161,Barabai,ID,75.43,broken clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
162,Sitka,US,48.09,light rain,57.0531,-135.33,Westmark Sitka
165,Pisco,PE,66.25,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
166,Kovdor,RU,43.75,overcast clouds,67.5662,30.4758,Derevo Zhelaniy
168,Saint-Denis,FR,74.23,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
169,Kaitangata,NZ,49.91,moderate rain,-46.2817,169.8464,Kaitangata Motor Camp
171,Vila Franca Do Campo,PT,64.81,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
172,Mayo,US,54.34,light rain,38.8876,-76.5119,Resorts Resource Group International
173,Xinyu,CN,66.2,overcast clouds,27.8043,114.9334,Xinyu Beihu Hotel
174,Kandrian,PG,78.62,overcast clouds,-6.2167,149.55,Kandrian Station
175,Gizo,SB,76.8,moderate rain,-8.103,156.8419,Imagination Island
176,Belgrade,RS,71.46,clear sky,44.803999999999995,20.4651,Saruna Wellness - Hotel Park Belgrade
177,Bethanien,,74.16,scattered clouds,-26.502,17.1583,Bethanie Hotel
178,Trelew,AR,46.35,clear sky,-43.248999999999995,-65.3051,Hotel Touring Club
180,Airai,TL,58.35,broken clouds,-8.9266,125.4092,Juvinal Martin
181,Kargasok,RU,48.27,scattered clouds,59.0556,80.8572,Hotel Kargasok
182,Hohhot,CN,69.26,light rain,40.8106,111.6522,Sheraton Hohhot Hotel
183,Hofn,IS,46.71,broken clouds,64.2539,-15.2082,Hótel Höfn
186,Yar-Sale,RU,50.0,moderate rain,66.8333,70.8333,Yalemd
187,Buala,SB,76.82,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
188,Samarai,PG,78.08,overcast clouds,-10.6167,150.6667,Nuli Sapi
189,Mogadishu,SO,79.34,scattered clouds,2.0371,45.3438,Hotel Juba
